"時間(秒)","総合COP左右X(cm)","総合COP前後Y(cm)","左プレートCOP左右X(cm)","左プレートCOP前後Y(cm)","左荷重(kgf)","右プレートCOP左右X(cm)","右プレートCOP前後Y(cm)","右荷重(kgf)","","","",""
0.000,1.289,-3.398,"---.---","---.---",50.532,"---.---","---.---","---.---","","","",""
0.010,1.313,-3.437,"---.---","---.---",50.537,"---.---","---.---","---.---","","","",""
0.020,1.344,-3.465,"---.---","---.---",50.552,"---.---","---.---","---.---","","","",""
0.030,1.383,-3.493,"---.---","---.---",50.562,"---.---","---.---","---.---","","","",""
0.040,1.421,-3.512,"---.---","---.---",50.557,"---.---","---.---","---.---","","","",""
0.050,1.453,-3.526,"---.---","---.---",50.542,"---.---","---.---","---.---","","","",""
0.060,1.479,-3.527,"---.---","---.---",50.488,"---.---","---.---","---.---","","","",""
0.070,1.497,-3.527,"---.---","---.---",50.430,"---.---","---.---","---.---","","","",""
0.080,1.508,-3.529,"---.---","---.---",50.401,"---.---","---.---","---.---","","","",""
0.090,1.512,-3.538,"---.---","---.---",50.425,"---.---","---.---","---.---","","","",""
0.100,1.518,-3.548,"---.---","---.---",50.469,"---.---","---.---","---.---","","","",""
0.110,1.520,-3.558,"---.---","---.---",50.498,"---.---","---.---","---.---","","","",""
0.120,1.522,-3.577,"---.---","---.---",50.488,"---.---","---.---","---.---","","","",""
0.130,1.508,-3.587,"---.---","---.---",50.474,"---.---","---.---","---.---","","","",""
0.140,1.494,-3.593,"---.---","---.---",50.464,"---.---","---.---","---.---","","","",""
0.150,1.472,-3.599,"---.---","---.---",50.474,"---.---","---.---","---.---","","","",""
0.160,1.447,-3.605,"---.---","---.---",50.503,"---.---","---.---","---.---","","","",""
0.170,1.415,-3.613,"---.---","---.---",50.537,"---.---","---.---","---.---","","","",""
0.180,1.378,-3.629,"---.---","---.---",50.557,"---.---","---.---","---.---","","","",""
0.190,1.332,-3.646,"---.---","---.---",50.576,"---.---","---.---","---.---","","","",""
0.200,1.285,-3.663,"---.---","---.---",50.596,"---.---","---.---","---.---","","","",""
0.210,1.239,-3.677,"---.---","---.---",50.606,"---.---","---.---","---.---","","","",""
0.220,1.193,-3.681,"---.---","---.---",50.620,"---.---","---.---","---.---","","","",""
0.230,1.155,-3.678,"---.---","---.---",50.610,"---.---","---.---","---.---","","","",""
0.240,1.111,-3.676,"---.---","---.---",50.601,"---.---","---.---","---.---","","","",""
0.250,1.069,-3.682,"---.---","---.---",50.567,"---.---","---.---","---.---","","","",""
0.260,1.014,-3.676,"---.---","---.---",50.542,"---.---","---.---","---.---","","","",""
0.270,0.959,-3.680,"---.---","---.---",50.518,"---.---","---.---","---.---","","","",""
0.280,0.906,-3.678,"---.---","---.---",50.508,"---.---","---.---","---.---","","","",""
0.290,0.862,-3.678,"---.---","---.---",50.508,"---.---","---.---","---.---","","","",""
0.300,0.819,-3.671,"---.---","---.---",50.518,"---.---","---.---","---.---","","","",""
0.310,0.785,-3.663,"---.---","---.---",50.518,"---.---","---.---","---.---","","","",""
0.320,0.746,-3.652,"---.---","---.---",50.508,"---.---","---.---","---.---","","","",""
0.330,0.701,-3.639,"---.---","---.---",50.484,"---.---","---.---","---.---","","","",""
0.340,0.648,-3.617,"---.---","---.---",50.440,"---.---","---.---","---.---","","","",""
0.350,0.595,-3.599,"---.---","---.---",50.415,"---.---","---.---","---.---","","","",""
0.360,0.551,-3.594,"---.---","---.---",50.449,"---.---","---.---","---.---","","","",""
0.370,0.520,-3.598,"---.---","---.---",50.488,"---.---","---.---","---.---","","","",""
0.380,0.488,-3.604,"---.---","---.---",50.537,"---.---","---.---","---.---","","","",""
0.390,0.454,-3.611,"---.---","---.---",50.567,"---.---","---.---","---.---","","","",""
0.400,0.420,-3.618,"---.---","---.---",50.581,"---.---","---.---","---.---","","","",""
0.410,0.383,-3.624,"---.---","---.---",50.591,"---.---","---.---","---.---","","","",""
0.420,0.359,-3.626,"---.---","---.---",50.601,"---.---","---.---","---.---","","","",""
0.430,0.335,-3.636,"---.---","---.---",50.586,"---.---","---.---","---.---","","","",""
0.440,0.314,-3.646,"---.---","---.---",50.576,"---.---","---.---","---.---","","","",""
0.450,0.285,-3.651,"---.---","---.---",50.581,"---.---","---.---","---.---","","","",""
0.460,0.248,-3.661,"---.---","---.---",50.586,"---.---","---.---","---.---","","","",""
0.470,0.205,-3.670,"---.---","---.---",50.571,"---.---","---.---","---.---","","","",""
0.480,0.171,-3.680,"---.---","---.---",50.557,"---.---","---.---","---.---","","","",""
0.490,0.145,-3.690,"---.---","---.---",50.547,"---.---","---.---","---.---","","","",""
0.500,0.123,-3.689,"---.---","---.---",50.542,"---.---","---.---","---.---","","","",""
0.510,0.099,-3.683,"---.---","---.---",50.552,"---.---","---.---","---.---","","","",""
0.520,0.060,-3.673,"---.---","---.---",50.528,"---.---","---.---","---.---","","","",""
0.530,0.000,-3.652,"---.---","---.---",50.488,"---.---","---.---","---.---","","","",""
0.540,-0.053,-3.635,"---.---","---.---",50.464,"---.---","---.---","---.---","","","",""
0.550,-0.097,-3.625,"---.---","---.---",50.479,"---.---","---.---","---.---","","","",""
0.560,-0.145,-3.624,"---.---","---.---",50.532,"---.---","---.---","---.---","","","",""
0.570,-0.207,-3.625,"---.---","---.---",50.596,"---.---","---.---","---.---","","","",""
0.580,-0.299,-3.613,"---.---","---.---",50.615,"---.---","---.---","---.---","","","",""
0.590,-0.403,-3.591,"---.---","---.---",50.552,"---.---","---.---","---.---","","","",""
0.600,-0.503,-3.566,"---.---","---.---",50.493,"---.---","---.---","---.---","","","",""
0.610,-0.582,-3.551,"---.---","---.---",50.484,"---.---","---.---","---.---","","","",""
0.620,-0.643,-3.543,"---.---","---.---",50.503,"---.---","---.---","---.---","","","",""
0.630,-0.691,-3.545,"---.---","---.---",50.513,"---.---","---.---","---.---","","","",""
0.640,-0.732,-3.558,"---.---","---.---",50.498,"---.---","---.---","---.---","","","",""
0.650,-0.776,-3.577,"---.---","---.---",50.469,"---.---","---.---","---.---","","","",""
0.660,-0.814,-3.601,"---.---","---.---",50.484,"---.---","---.---","---.---","","","",""
0.670,-0.841,-3.627,"---.---","---.---",50.488,"---.---","---.---","---.---","","","",""
0.680,-0.865,-3.655,"---.---","---.---",50.498,"---.---","---.---","---.---","","","",""
0.690,-0.893,-3.681,"---.---","---.---",50.523,"---.---","---.---","---.---","","","",""
0.700,-0.937,-3.701,"---.---","---.---",50.518,"---.---","---.---","---.---","","","",""
0.710,-0.988,-3.719,"---.---","---.---",50.508,"---.---","---.---","---.---","","","",""
0.720,-1.034,-3.732,"---.---","---.---",50.508,"---.---","---.---","---.---","","","",""
0.730,-1.070,-3.749,"---.---","---.---",50.528,"---.---","---.---","---.---","","","",""
0.740,-1.091,-3.761,"---.---","---.---",50.528,"---.---","---.---","---.---","","","",""
0.750,-1.096,-3.761,"---.---","---.---",50.528,"---.---","---.---","---.---","","","",""
0.760,-1.089,-3.739,"---.---","---.---",50.542,"---.---","---.---","---.---","","","",""
0.770,-1.074,-3.709,"---.---","---.---",50.537,"---.---","---.---","---.---","","","",""
0.780,-1.058,-3.684,"---.---","---.---",50.518,"---.---","---.---","---.---","","","",""
0.790,-1.037,-3.677,"---.---","---.---",50.484,"---.---","---.---","---.---","","","",""
0.800,-1.006,-3.679,"---.---","---.---",50.435,"---.---","---.---","---.---","","","",""
0.810,-0.968,-3.686,"---.---","---.---",50.410,"---.---","---.---","---.---","","","",""
0.820,-0.922,-3.695,"---.---","---.---",50.415,"---.---","---.---","---.---","","","",""
0.830,-0.863,-3.700,"---.---","---.---",50.474,"---.---","---.---","---.---","","","",""
0.840,-0.807,-3.707,"---.---","---.---",50.508,"---.---","---.---","---.---","","","",""
0.850,-0.758,-3.711,"---.---","---.---",50.528,"---.---","---.---","---.---","","","",""
0.860,-0.700,-3.711,"---.---","---.---",50.528,"---.---","---.---","---.---","","","",""
0.870,-0.630,-3.728,"---.---","---.---",50.547,"---.---","---.---","---.---","","","",""
0.880,-0.547,-3.743,"---.---","---.---",50.601,"---.---","---.---","---.---","","","",""
0.890,-0.462,-3.762,"---.---","---.---",50.669,"---.---","---.---","---.---","","","",""
0.900,-0.385,-3.772,"---.---","---.---",50.718,"---.---","---.---","---.---","","","",""
0.910,-0.335,-3.770,"---.---","---.---",50.689,"---.---","---.---","---.---","","","",""
0.920,-0.304,-3.762,"---.---","---.---",50.591,"---.---","---.---","---.---","","","",""
0.930,-0.271,-3.746,"---.---","---.---",50.513,"---.---","---.---","---.---","","","",""
0.940,-0.242,-3.735,"---.---","---.---",50.464,"---.---","---.---","---.---","","","",""
0.950,-0.206,-3.732,"---.---","---.---",50.449,"---.---","---.---","---.---","","","",""
0.960,-0.169,-3.726,"---.---","---.---",50.479,"---.---","---.---","---.---","","","",""
0.970,-0.143,-3.729,"---.---","---.---",50.493,"---.---","---.---","---.---","","","",""
0.980,-0.123,-3.728,"---.---","---.---",50.508,"---.---","---.---","---.---","","","",""
0.990,-0.111,-3.726,"---.---","---.---",50.479,"---.---","---.---","---.---","","","",""
1.000,-0.099,-3.721,"---.---","---.---",50.454,"---.---","---.---","---.---","","","",""
1.010,-0.092,-3.729,"---.---","---.---",50.435,"---.---","---.---","---.---","","","",""
1.020,-0.087,-3.731,"---.---","---.---",50.445,"---.---","---.---","---.---","","","",""
1.030,-0.080,-3.747,"---.---","---.---",50.479,"---.---","---.---","---.---","","","",""
1.040,-0.075,-3.762,"---.---","---.---",50.532,"---.---","---.---","---.---","","","",""
1.050,-0.072,-3.763,"---.---","---.---",50.576,"---.---","---.---","---.---","","","",""
1.060,-0.072,-3.757,"---.---","---.---",50.586,"---.---","---.---","---.---","","","",""
1.070,-0.068,-3.747,"---.---","---.---",50.562,"---.---","---.---","---.---","","","",""
1.080,-0.060,-3.739,"---.---","---.---",50.542,"---.---","---.---","---.---","","","",""
1.090,-0.056,-3.743,"---.---","---.---",50.523,"---.---","---.---","---.---","","","",""
1.100,-0.043,-3.748,"---.---","---.---",50.523,"---.---","---.---","---.---","","","",""
1.110,-0.031,-3.758,"---.---","---.---",50.513,"---.---","---.---","---.---","","","",""
1.120,-0.022,-3.772,"---.---","---.---",50.518,"---.---","---.---","---.---","","","",""
1.130,-0.007,-3.785,"---.---","---.---",50.523,"---.---","---.---","---.---","","","",""
1.140,0.007,-3.794,"---.---","---.---",50.523,"---.---","---.---","---.---","","","",""
1.150,0.019,-3.801,"---.---","---.---",50.518,"---.---","---.---","---.---","","","",""
1.160,0.034,-3.809,"---.---","---.---",50.518,"---.---","---.---","---.---","","","",""
1.170,0.065,-3.812,"---.---","---.---",50.532,"---.---","---.---","---.---","","","",""
